customer_id,age,job_type,housing,checking_account,savings_account,credit_amount_DM,duration_months,purpose,credit_history,employment_length,credit_score,risk_tier,credit_rating
CUST0001,26,skilled,own,no_account,<100_DM,2098,21,furniture,critical_account,1_to_4_years,42.2,High Risk,Good
CUST0002,42,skilled,own,>=200_DM,no_savings,3710,10,domestic_appliances,existing_paid,<1_year,65.7,Medium Risk,Good
CUST0003,38,skilled,own,0_to_200_DM,no_savings,3921,24,business,existing_paid,1_to_4_years,61.9,Medium Risk,Good
CUST0004,42,highly_skilled,own,<0_DM,no_savings,1218,27,car_new,existing_paid,1_to_4_years,56.7,Medium Risk,Bad
CUST0005,31,unskilled_resident,own,no_account,<100_DM,1021,26,car_new,existing_paid,<1_year,57.0,Medium Risk,Good
CUST0006,39,highly_skilled,own,no_account,no_savings,1909,34,education,existing_paid,1_to_4_years,57.8,Medium Risk,Good
CUST0007,28,unskilled_resident,free,no_account,<100_DM,3304,30,furniture,existing_paid,1_to_4_years,56.6,Medium Risk,Good
CUST0008,61,unskilled_nonresident,rent,0_to_200_DM,<100_DM,1992,25,radio_TV,existing_paid,1_to_4_years,65.9,Medium Risk,Good
CUST0009,25,highly_skilled,own,<0_DM,500_to_1000_DM,599,19,business,no_credits,4_to_7_years,60.1,Medium Risk,Good
CUST0010,62,skilled,own,0_to_200_DM,<100_DM,1030,8,car_new,no_credits,unemployed,56.0,Medium Risk,Good
CUST0011,33,skilled,free,no_account,100_to_500_DM,1716,24,radio_TV,existing_paid,>=7_years,70.2,Low Risk,Good
CUST0012,21,skilled,rent,>=200_DM,<100_DM,1714,22,car_new,no_credits,4_to_7_years,58.4,Medium Risk,Good
CUST0013,49,highly_skilled,own,0_to_200_DM,no_savings,7192,23,furniture,existing_paid,1_to_4_years,62.3,Medium Risk,Good
CUST0014,34,highly_skilled,own,no_account,<100_DM,685,10,domestic_appliances,existing_paid,unemployed,56.9,Medium Risk,Good
CUST0015,42,skilled,own,no_account,<100_DM,2575,11,furniture,critical_account,>=7_years,53.2,Medium Risk,Good
CUST0016,47,skilled,own,no_account,<100_DM,5127,34,others,existing_paid,>=7_years,67.5,Medium Risk,Good
CUST0017,36,unskilled_resident,rent,no_account,<100_DM,8866,19,radio_TV,existing_paid,1_to_4_years,54.6,Medium Risk,Bad
CUST0018,27,skilled,own,<0_DM,>=1000_DM,1362,28,car_used,existing_paid,1_to_4_years,67.8,Medium Risk,Good
CUST0019,44,skilled,free,<0_DM,<100_DM,2550,20,car_new,critical_account,<1_year,36.3,High Risk,Bad
CUST0020,33,skilled,own,no_account,<100_DM,2694,20,furniture,existing_paid,4_to_7_years,65.3,Medium Risk,Good
CUST0021,40,skilled,own,<0_DM,500_to_1000_DM,2073,32,furniture,all_paid,<1_year,57.2,Medium Risk,Good
CUST0022,19,skilled,rent,no_account,no_savings,1687,15,car_new,existing_paid,1_to_4_years,53.0,Medium Risk,Bad
CUST0023,37,skilled,free,no_account,<100_DM,2453,21,furniture,existing_paid,4_to_7_years,64.0,Medium Risk,Good
CUST0024,27,highly_skilled,own,no_account,<100_DM,307,15,furniture,existing_paid,1_to_4_years,62.2,Medium Risk,Good
CUST0025,54,unskilled_resident,rent,<0_DM,100_to_500_DM,2914,16,radio_TV,existing_paid,1_to_4_years,62.4,Medium Risk,Good
CUST0026,39,skilled,own,0_to_200_DM,>=1000_DM,1975,17,radio_TV,critical_account,1_to_4_years,60.1,Medium Risk,Good
CUST0027,35,highly_skilled,own,no_account,>=1000_DM,1547,22,radio_TV,existing_paid,1_to_4_years,73.0,Low Risk,Good
CUST0028,38,skilled,rent,<0_DM,no_savings,7576,15,car_new,delayed_past,unemployed,28.2,Very High Risk,Bad
CUST0029,24,unskilled_resident,own,<0_DM,100_to_500_DM,1127,37,car_new,critical_account,<1_year,37.1,High Risk,Good
CUST0030,53,skilled,rent,no_account,<100_DM,1363,12,radio_TV,existing_paid,>=7_years,69.7,Medium Risk,Good
CUST0031,60,skilled,own,<0_DM,<100_DM,7288,18,furniture,existing_paid,<1_year,56.9,Medium Risk,Good
CUST0032,37,unskilled_resident,own,no_account,no_savings,1009,16,car_new,existing_paid,4_to_7_years,64.4,Medium Risk,Good
CUST0033,53,skilled,own,no_account,<100_DM,1230,41,domestic_appliances,existing_paid,>=7_years,69.7,Medium Risk,Good
